OrderID,Category,Flavor,Filling,Size,Layers,Topping,Frosting,Decoration,Color,Message,Shape,SpecialRequest,DietType,Packaging,Price,Quantity
294,Fruit,Pineapple,Mousse,24,2,Whipped Cream,Pineapple,Fresh Fruit,Yellow,Happy Birthday,Square,None,Organic,Gift Box,118,1
295,Chocolate,Hazelnut,Ganache,28,3,Ganache,Hazelnut,Hazelnuts,Brown,Thank You,Rectangle,None,Premium,Premium Box,171,2
296,Sponge,Chocolate,Cream,20,2,Buttercream,Chocolate,Chocolate Chips,Brown,Congratulations,Round,None,Regular,Standard Box,83,2
297,Fruit,Mango,Custard,26,3,Whipped Cream,Mango,Mango Cubes,Yellow,Happy Anniversary,Heart,None,Organic,Ribbon Box,132,1
298,Chocolate,White Chocolate,Cream,24,2,Ganache,White Chocolate,Chocolate Curls,White,Happy Birthday,Round,None,Premium,Premium Box,149,2
299,Sponge,Vanilla,Custard,22,2,Buttercream,Vanilla,Silver Pearls,White,Best Wishes,Square,None,Regular,Standard Box,90,3
300,Fruit,Kiwi,Cream,18,1,Whipped Cream,Kiwi,Kiwi Slices,Green,Enjoy,Round,None,Organic,Gift Box,73,2
301,Chocolate,Caramel,Mousse,30,4,Ganache,Chocolate,Gold Flakes,Gold,Happy Birthday,Square,None,Premium,Premium Box,185,1
302,Sponge,Orange,Cream,20,2,Buttercream,Orange,Candied Orange,Orange,Welcome,Round,None,Regular,Standard Box,82,2
303,Fruit,Mixed Fruit,Custard,24,2,Whipped Cream,Vanilla,Fruit Mix,White,Thank You,Rectangle,None,Organic,Ribbon Box,120,2
304,Chocolate,Mocha,Ganache,28,3,Ganache,Mocha,Cocoa Dust,Brown,Congratulations,Square,None,Premium,Premium Box,166,1
305,Sponge,Red Velvet,Mousse,22,2,Buttercream,Red Velvet,Gold Flakes,Red,Happy Anniversary,Heart,None,Regular,Standard Box,97,2
306,Fruit,Peach,Cream,20,2,Whipped Cream,Peach,Peach Slices,Orange,Happy Birthday,Round,None,Organic,Gift Box,92,3
307,Chocolate,Dark Chocolate,Custard,24,2,Ganache,Chocolate,Chocolate Shavings,Black,Best Wishes,Square,None,Premium,Premium Box,152,2
308,Sponge,Chocolate,Cream,18,1,Buttercream,Chocolate,Sprinkles,Brown,Enjoy,Round,None,Regular,Standard Box,64,2
309,Fruit,Blueberry,Mousse,26,3,Whipped Cream,Blueberry,Blueberries,Blue,Happy Anniversary,Square,None,Organic,Ribbon Box,133,1
310,Chocolate,Hazelnut,Cream,30,4,Ganache,Hazelnut,Hazelnuts,Brown,Congratulations,Rectangle,None,Premium,Premium Box,189,1
311,Sponge,Vanilla,Cream,24,2,Buttercream,Vanilla,Silver Pearls,White,Thank You,Round,None,Regular,Standard Box,89,3
312,Fruit,Mango,Custard,22,2,Whipped Cream,Mango,Mango Cubes,Yellow,Welcome,Heart,None,Organic,Gift Box,105,2
313,Chocolate,Milk Chocolate,Mousse,28,3,Ganache,Chocolate,Chocolate Chips,Brown,Happy Birthday,Square,None,Premium,Premium Box,164,2
314,Sponge,Lemon,Cream,20,2,Buttercream,Lemon,Lemon Zest,Yellow,Best Wishes,Round,None,Regular,Standard Box,80,2
315,Fruit,Pineapple,Cream,24,2,Whipped Cream,Pineapple,Fresh Fruit,Yellow,Enjoy,Round,None,Organic,Gift Box,109,3
316,Chocolate,White Chocolate,Ganache,26,3,Ganache,White Chocolate,Chocolate Curls,White,Congratulations,Square,None,Premium,Premium Box,173,1
317,Sponge,Caramel,Custard,22,2,Buttercream,Caramel,Toffee Bits,Gold,Happy Anniversary,Heart,None,Regular,Standard Box,94,2
318,Fruit,Strawberry,Cream,18,1,Whipped Cream,Strawberry,Berries,Pink,Thank You,Round,None,Organic,Ribbon Box,75,2
319,Chocolate,Mocha,Mousse,30,4,Ganache,Mocha,Cocoa Dust,Brown,Happy Birthday,Rectangle,None,Premium,Premium Box,193,1
320,Sponge,Chocolate,Cream,24,2,Buttercream,Chocolate,Sprinkles,Brown,Welcome,Square,None,Regular,Standard Box,92,2
321,Fruit,Kiwi,Custard,20,2,Whipped Cream,Kiwi,Kiwi Slices,Green,Best Wishes,Round,None,Organic,Gift Box,96,2
322,Chocolate,Dark Chocolate,Cream,22,2,Ganache,Chocolate,Chocolate Shavings,Black,Happy Birthday,Heart,None,Premium,Premium Box,148,2
323,Sponge,Vanilla,Mousse,18,1,Buttercream,Vanilla,Silver Pearls,White,Enjoy,Round,None,Regular,Standard Box,68,3
324,Fruit,Mango,Cream,24,2,Whipped Cream,Mango,Mango Cubes,Yellow,Thank You,Square,None,Organic,Ribbon Box,115,1
325,Chocolate,Hazelnut,Custard,28,3,Ganache,Hazelnut,Hazelnuts,Brown,Congratulations,Rectangle,None,Premium,Premium Box,169,2
326,Sponge,Orange,Cream,20,2,Buttercream,Orange,Candied Orange,Orange,Happy Anniversary,Round,None,Regular,Standard Box,81,2
327,Fruit,Blueberry,Cream,22,2,Whipped Cream,Blueberry,Blueberries,Blue,Happy Birthday,Heart,None,Organic,Gift Box,103,3
328,Chocolate,Caramel,Ganache,30,4,Ganache,Chocolate,Gold Flakes,Gold,Best Wishes,Square,None,Premium,Premium Box,187,1
329,Sponge,Red Velvet,Cream,24,2,Buttercream,Red Velvet,Red Sprinkles,Red,Thank You,Round,None,Regular,Standard Box,96,2
330,Fruit,Pineapple,Custard,26,3,Whipped Cream,Pineapple,Fresh Fruit,Yellow,Congratulations,Rectangle,None,Organic,Ribbon Box,136,2
331,Chocolate,White Chocolate,Mousse,22,2,Ganache,White Chocolate,Chocolate Curls,White,Happy Birthday,Heart,None,Premium,Premium Box,147,1
332,Sponge,Chocolate,Cream,18,1,Buttercream,Chocolate,Sprinkles,Brown,Enjoy,Round,None,Regular,Standard Box,66,4
333,Fruit,Strawberry,Mousse,24,2,Whipped Cream,Strawberry,Berries,Pink,Happy Anniversary,Square,None,Organic,Gift Box,121,2
334,Chocolate,Mocha,Cream,28,3,Ganache,Mocha,Cocoa Dust,Brown,Thank You,Rectangle,None,Premium,Premium Box,165,2
335,Sponge,Vanilla,Custard,20,2,Buttercream,Vanilla,Silver Pearls,White,Congratulations,Round,None,Regular,Standard Box,86,2
336,Fruit,Kiwi,Cream,22,2,Whipped Cream,Kiwi,Kiwi Slices,Green,Happy Birthday,Heart,None,Organic,Ribbon Box,107,1
337,Chocolate,Dark Chocolate,Ganache,30,4,Ganache,Chocolate,Gold Flakes,Gold,Happy Anniversary,Square,None,Premium,Premium Box,194,1
338,Sponge,Caramel,Cream,24,2,Buttercream,Caramel,Toffee Bits,Gold,Best Wishes,Round,None,Regular,Standard Box,93,2
